时间,价差买价,价差卖价,价差买量,价差卖量,cu2309.SHFE买价,cu2309.SHFE卖价,cu2309.SHFE买量,cu2309.SHFE卖量,cu2310.SHFE买价,cu2310.SHFE卖价,cu2310.SHFE买量,cu2310.SHFE卖量
2023-06-29 14:51:54.220376,240.0,270.0,0.0,3.0,66960.0,66980.0,13,16,66710.0,66720.0,9,2
2023-06-29 14:51:59.928654,240.0,280.0,2.0,6.0,66960.0,66980.0,10,16,66700.0,66720.0,20,6
2023-06-29 14:52:01.597562,240.0,270.0,0.0,1.0,66960.0,66980.0,11,16,66710.0,66720.0,4,2
2023-06-29 14:52:02.027401,250.0,270.0,0.0,1.0,66970.0,66980.0,3,10,66710.0,66720.0,4,2
2023-06-29 14:52:02.521115,240.0,270.0,1.0,1.0,66960.0,66980.0,12,10,66710.0,66720.0,5,4
2023-06-29 14:52:03.301317,240.0,280.0,1.0,4.0,66960.0,66980.0,11,9,66700.0,66720.0,20,4
2023-06-29 14:52:04.059907,250.0,290.0,2.0,7.0,66980.0,66990.0,6,14,66700.0,66730.0,22,6
2023-06-29 14:52:04.497803,230.0,280.0,2.0,1.0,66960.0,66980.0,12,2,66700.0,66730.0,22,6
2023-06-29 14:52:04.533134,230.0,260.0,2.0,0.0,66960.0,66980.0,12,2,66720.0,66730.0,2,6
2023-06-29 14:52:04.969000,240.0,260.0,2.0,0.0,66970.0,66980.0,7,4,66720.0,66730.0,2,6
2023-06-29 14:52:05.060162,240.0,270.0,1.0,2.0,66970.0,66980.0,7,4,66710.0,66730.0,7,5
2023-06-29 14:52:05.457122,250.0,270.0,0.0,2.0,66970.0,66980.0,9,26,66710.0,66720.0,8,2
2023-06-29 14:52:06.455861,260.0,280.0,0.0,2.0,66980.0,66990.0,2,25,66710.0,66720.0,8,2
2023-06-29 14:52:06.459900,250.0,280.0,1.0,3.0,66980.0,66990.0,2,25,66710.0,66730.0,9,5
2023-06-29 14:52:07.946568,240.0,280.0,1.0,8.0,66970.0,66990.0,10,19,66710.0,66730.0,25,5
2023-06-29 14:52:08.479884,250.0,280.0,0.0,9.0,66980.0,66990.0,1,22,66710.0,66730.0,27,5
2023-06-29 14:52:09.098902,240.0,260.0,1.0,0.0,66970.0,66980.0,10,1,66720.0,66730.0,1,5
2023-06-29 14:52:09.457415,240.0,270.0,1.0,0.0,66970.0,66980.0,10,1,66710.0,66730.0,15,5
2023-06-29 14:52:10.081950,250.0,280.0,2.0,5.0,66980.0,66990.0,8,20,66710.0,66730.0,15,6
2023-06-29 14:52:10.505930,250.0,270.0,1.0,0.0,66980.0,66990.0,4,24,66720.0,66730.0,1,5
2023-06-29 14:52:10.986133,240.0,270.0,1.0,0.0,66970.0,66990.0,10,24,66720.0,66730.0,1,5
2023-06-29 14:52:11.026128,240.0,280.0,1.0,9.0,66970.0,66990.0,10,24,66710.0,66730.0,27,5
2023-06-29 14:52:11.494754,240.0,270.0,1.0,0.0,66970.0,66990.0,12,8,66720.0,66730.0,1,4
2023-06-29 14:52:16.486887,240.0,260.0,2.0,0.0,66970.0,66980.0,10,15,66720.0,66730.0,1,6
2023-06-29 14:52:17.544295,240.0,270.0,1.0,4.0,66970.0,66980.0,3,15,66710.0,66730.0,13,6
2023-06-29 14:52:19.005878,240.0,260.0,1.0,0.0,66970.0,66980.0,3,11,66720.0,66730.0,2,6
2023-06-29 14:52:27.485921,230.0,260.0,1.0,0.0,66960.0,66980.0,21,31,66720.0,66730.0,2,4
2023-06-29 14:52:27.946076,230.0,270.0,2.0,3.0,66960.0,66980.0,22,31,66710.0,66730.0,9,6
2023-06-29 14:52:28.479129,240.0,270.0,2.0,3.0,66970.0,66980.0,4,31,66710.0,66730.0,9,6
2023-06-29 14:52:28.989176,230.0,270.0,2.0,4.0,66960.0,66980.0,22,31,66710.0,66730.0,12,6
2023-06-29 14:52:28.999373,230.0,260.0,1.0,0.0,66960.0,66980.0,22,31,66720.0,66730.0,2,5
2023-06-29 14:52:29.437275,230.0,270.0,2.0,3.0,66960.0,66980.0,23,21,66710.0,66730.0,9,6
2023-06-29 14:52:31.937387,240.0,270.0,1.0,2.0,66970.0,66980.0,5,12,66710.0,66730.0,8,5
2023-06-29 14:52:32.447857,240.0,260.0,1.0,0.0,66970.0,66980.0,6,12,66720.0,66730.0,2,5
2023-06-29 14:52:33.990114,240.0,270.0,0.0,2.0,66970.0,66980.0,1,14,66710.0,66730.0,6,7
2023-06-29 14:52:35.400068,230.0,270.0,1.0,2.0,66960.0,66980.0,18,28,66710.0,66730.0,6,5
2023-06-29 14:52:35.668973,240.0,270.0,2.0,2.0,66960.0,66980.0,18,28,66710.0,66720.0,6,7
2023-06-29 14:52:35.918400,240.0,260.0,2.0,1.0,66960.0,66970.0,18,2,66710.0,66720.0,6,7
2023-06-29 14:52:35.936037,230.0,260.0,2.0,1.0,66960.0,66970.0,18,2,66710.0,66730.0,6,6
2023-06-29 14:52:36.406252,240.0,270.0,2.0,2.0,66970.0,66980.0,8,27,66710.0,66730.0,6,6
2023-06-29 14:52:36.439369,250.0,270.0,2.0,0.0,66970.0,66980.0,8,27,66710.0,66720.0,2,7
2023-06-29 14:52:37.438846,240.0,270.0,2.0,2.0,66970.0,66980.0,4,29,66710.0,66730.0,6,7
2023-06-29 14:52:38.398305,230.0,270.0,1.0,2.0,66960.0,66980.0,18,25,66710.0,66730.0,7,5
2023-06-29 14:52:38.544485,240.0,270.0,0.0,2.0,66960.0,66980.0,18,25,66710.0,66720.0,6,2
2023-06-29 14:52:39.400229,240.0,260.0,1.0,0.0,66960.0,66970.0,18,1,66710.0,66720.0,2,4
2023-06-29 14:52:39.431536,230.0,260.0,2.0,0.0,66960.0,66970.0,18,1,66710.0,66730.0,2,7
2023-06-29 14:52:39.954673,240.0,260.0,2.0,0.0,66960.0,66970.0,18,1,66710.0,66720.0,2,7
2023-06-29 14:52:41.012661,250.0,280.0,2.0,4.0,66970.0,66980.0,7,17,66700.0,66720.0,12,7
2023-06-29 14:52:41.437748,240.0,280.0,2.0,4.0,66960.0,66980.0,18,19,66700.0,66720.0,12,7
2023-06-29 14:52:41.918703,250.0,280.0,0.0,3.0,66970.0,66980.0,1,7,66700.0,66720.0,24,7
2023-06-29 14:52:42.425605,240.0,270.0,1.0,3.0,66960.0,66970.0,18,7,66700.0,66720.0,15,4
2023-06-29 14:52:42.950089,250.0,270.0,0.0,0.0,66960.0,66970.0,18,8,66700.0,66710.0,1,1
2023-06-29 14:52:43.519407,260.0,280.0,0.0,0.0,66970.0,66980.0,2,18,66700.0,66710.0,1,1
2023-06-29 14:52:43.958518,250.0,270.0,1.0,1.0,66960.0,66970.0,18,3,66700.0,66710.0,5,5
2023-06-29 14:52:43.994523,240.0,270.0,1.0,1.0,66960.0,66970.0,18,3,66700.0,66720.0,22,5
2023-06-29 14:52:45.089746,250.0,270.0,0.0,2.0,66960.0,66970.0,17,29,66700.0,66710.0,8,1
2023-06-29 14:52:45.595379,240.0,270.0,1.0,2.0,66960.0,66970.0,17,4,66700.0,66720.0,16,4
2023-06-29 14:52:47.493541,250.0,280.0,1.0,2.0,66970.0,66980.0,2,6,66700.0,66720.0,8,4
2023-06-29 14:52:48.476874,240.0,270.0,1.0,0.0,66970.0,66980.0,2,6,66710.0,66730.0,1,6
2023-06-29 14:52:51.160952,250.0,280.0,2.0,1.0,66980.0,66990.0,4,9,66710.0,66730.0,5,7
2023-06-29 14:52:51.391629,240.0,280.0,2.0,1.0,66970.0,66990.0,8,36,66710.0,66730.0,5,7
2023-06-29 14:52:52.447866,240.0,270.0,2.0,0.0,66970.0,66980.0,8,1,66710.0,66730.0,6,6
2023-06-29 14:52:53.013227,250.0,270.0,0.0,3.0,66970.0,66980.0,6,26,66710.0,66720.0,9,1
2023-06-29 14:52:53.462724,240.0,270.0,0.0,3.0,66960.0,66980.0,17,22,66710.0,66720.0,9,1
2023-06-29 14:52:53.960385,240.0,260.0,1.0,0.0,66960.0,66970.0,17,1,66710.0,66720.0,2,5
2023-06-29 14:52:53.964384,240.0,270.0,1.0,0.0,66960.0,66970.0,17,1,66700.0,66720.0,11,5
2023-06-29 14:53:02.587471,240.0,280.0,1.0,3.0,66960.0,66980.0,19,6,66700.0,66720.0,11,5
2023-06-29 14:53:02.978086,230.0,280.0,1.0,3.0,66960.0,66980.0,19,6,66700.0,66730.0,15,5
2023-06-29 14:53:03.637175,240.0,270.0,2.0,1.0,66970.0,66980.0,7,4,66710.0,66730.0,4,8
2023-06-29 14:53:05.614941,250.0,270.0,0.0,1.0,66970.0,66980.0,1,22,66710.0,66720.0,4,1
2023-06-29 14:53:06.120611,240.0,280.0,1.0,7.0,66960.0,66980.0,17,25,66700.0,66720.0,22,5
2023-06-29 14:53:14.555737,240.0,270.0,1.0,0.0,66960.0,66970.0,14,1,66700.0,66720.0,14,5
2023-06-29 14:53:15.082027,250.0,270.0,0.0,4.0,66960.0,66970.0,10,27,66700.0,66710.0,14,1
2023-06-29 14:53:15.669871,250.0,280.0,0.0,4.0,66960.0,66980.0,8,15,66700.0,66710.0,14,1
2023-06-29 14:53:16.137739,240.0,280.0,1.0,3.0,66960.0,66980.0,15,39,66700.0,66720.0,11,5
2023-06-29 14:53:17.026202,240.0,270.0,1.0,3.0,66960.0,66970.0,13,21,66700.0,66720.0,11,5
2023-06-29 14:53:17.064335,250.0,270.0,0.0,3.0,66960.0,66970.0,13,21,66700.0,66710.0,11,2
2023-06-29 14:53:18.018303,240.0,270.0,1.0,2.0,66950.0,66970.0,5,6,66700.0,66710.0,7,5
2023-06-29 14:53:18.437128,250.0,280.0,1.0,2.0,66960.0,66980.0,7,27,66700.0,66710.0,7,4
2023-06-29 14:53:18.969795,240.0,280.0,1.0,1.0,66960.0,66980.0,7,47,66700.0,66720.0,5,4
2023-06-29 14:53:19.432014,240.0,270.0,1.0,1.0,66960.0,66970.0,7,19,66700.0,66720.0,5,4
2023-06-29 14:53:19.484546,250.0,270.0,0.0,1.0,66960.0,66970.0,7,19,66700.0,66710.0,5,2
2023-06-29 14:53:19.978982,240.0,270.0,0.0,1.0,66950.0,66970.0,5,2,66700.0,66710.0,5,2
2023-06-29 14:53:21.119752,250.0,270.0,2.0,1.0,66960.0,66970.0,7,22,66700.0,66710.0,5,7
2023-06-29 14:53:21.483418,240.0,270.0,2.0,1.0,66950.0,66970.0,6,23,66700.0,66710.0,3,6
2023-06-29 14:53:23.108337,250.0,270.0,1.0,1.0,66960.0,66970.0,2,3,66700.0,66710.0,3,4
2023-06-29 14:53:23.443224,260.0,280.0,1.0,1.0,66970.0,66980.0,8,47,66700.0,66710.0,3,4
2023-06-29 14:53:23.956058,250.0,280.0,1.0,1.0,66960.0,66980.0,9,61,66700.0,66710.0,3,4
2023-06-29 14:53:23.985767,240.0,280.0,1.0,10.0,66960.0,66980.0,9,61,66700.0,66720.0,30,4
2023-06-29 14:53:25.435442,240.0,270.0,1.0,3.0,66960.0,66970.0,4,23,66700.0,66720.0,10,5
2023-06-29 14:53:25.457804,250.0,270.0,0.0,2.0,66960.0,66970.0,4,23,66700.0,66710.0,6,1
2023-06-29 14:53:25.943602,240.0,260.0,0.0,0.0,66950.0,66960.0,5,1,66700.0,66710.0,6,1
2023-06-29 14:53:42.987558,250.0,280.0,0.0,0.0,66960.0,66980.0,1,46,66700.0,66710.0,2,4
2023-06-29 14:53:44.442526,240.0,280.0,1.0,2.0,66960.0,66980.0,8,60,66700.0,66720.0,6,4
2023-06-29 14:53:47.449970,250.0,280.0,1.0,3.0,66960.0,66980.0,9,62,66700.0,66710.0,10,4
2023-06-29 14:53:49.960877,240.0,280.0,1.0,3.0,66960.0,66980.0,5,43,66700.0,66720.0,9,5
2023-06-29 14:53:50.467921,250.0,280.0,1.0,3.0,66970.0,66980.0,2,24,66700.0,66720.0,9,5
2023-06-29 14:53:50.517941,250.0,270.0,1.0,0.0,66970.0,66980.0,2,24,66710.0,66720.0,2,4
2023-06-29 14:53:50.923476,240.0,270.0,1.0,0.0,66960.0,66980.0,13,22,66710.0,66720.0,2,4
2023-06-29 14:53:54.443388,240.0,280.0,1.0,3.0,66960.0,66980.0,11,41,66700.0,66720.0,11,5
2023-06-29 14:53:55.998112,250.0,280.0,1.0,2.0,66960.0,66980.0,7,41,66700.0,66710.0,7,4
2023-06-29 14:53:56.455645,240.0,280.0,1.0,2.0,66960.0,66980.0,7,42,66700.0,66720.0,6,5
2023-06-29 14:53:56.966367,230.0,270.0,1.0,1.0,66950.0,66970.0,11,2,66700.0,66720.0,6,5
2023-06-29 14:53:56.972384,240.0,270.0,1.0,1.0,66950.0,66970.0,11,2,66700.0,66710.0,6,4
2023-06-29 14:53:57.450042,250.0,270.0,1.0,2.0,66960.0,66970.0,2,9,66700.0,66710.0,6,4
2023-06-29 14:53:57.457010,240.0,270.0,1.0,1.0,66960.0,66970.0,2,9,66700.0,66720.0,5,5
2023-06-29 14:53:57.949244,250.0,280.0,1.0,4.0,66960.0,66970.0,9,9,66690.0,66710.0,15,4
2023-06-29 14:53:58.937311,240.0,280.0,1.0,4.0,66950.0,66970.0,12,9,66690.0,66710.0,33,4
2023-06-29 14:53:58.943493,250.0,280.0,6.0,4.0,66950.0,66970.0,12,9,66690.0,66700.0,33,20
2023-06-29 14:54:08.527208,250.0,270.0,2.0,0.0,66950.0,66960.0,14,1,66690.0,66700.0,25,7
2023-06-29 14:54:13.064303,240.0,270.0,1.0,3.0,66950.0,66960.0,16,6,66690.0,66710.0,14,4
2023-06-29 14:54:13.891416,240.0,260.0,1.0,0.0,66950.0,66960.0,14,6,66700.0,66710.0,1,5
2023-06-29 14:54:14.482765,240.0,270.0,1.0,0.0,66950.0,66970.0,14,15,66700.0,66710.0,1,5
2023-06-29 14:54:14.943973,250.0,270.0,1.0,0.0,66960.0,66970.0,7,5,66700.0,66710.0,1,5
2023-06-29 14:54:16.003420,240.0,270.0,2.0,0.0,66950.0,66970.0,11,8,66700.0,66710.0,1,6
2023-06-29 14:54:16.465312,250.0,270.0,0.0,0.0,66960.0,66970.0,1,20,66700.0,66710.0,2,5
2023-06-29 14:54:16.949184,260.0,280.0,1.0,0.0,66970.0,66980.0,3,31,66700.0,66710.0,1,6
2023-06-29 14:54:17.464932,250.0,270.0,0.0,0.0,66960.0,66970.0,1,1,66700.0,66710.0,1,5
2023-06-29 14:54:17.492073,240.0,260.0,0.0,0.0,66960.0,66970.0,1,1,66710.0,66720.0,1,4
2023-06-29 14:54:17.974696,240.0,270.0,1.0,0.0,66960.0,66980.0,8,42,66710.0,66720.0,1,4
2023-06-29 14:54:17.983723,250.0,280.0,0.0,0.0,66960.0,66980.0,8,42,66700.0,66710.0,2,1
2023-06-29 14:54:19.005167,240.0,270.0,0.0,0.0,66950.0,66970.0,11,14,66700.0,66710.0,2,1
2023-06-29 14:54:19.626061,250.0,280.0,0.0,0.0,66960.0,66980.0,11,33,66700.0,66710.0,2,1
2023-06-29 14:54:20.951605,250.0,270.0,0.0,3.0,66960.0,66970.0,10,17,66700.0,66710.0,10,1
2023-06-29 14:54:29.477259,240.0,260.0,1.0,0.0,66960.0,66970.0,17,14,66710.0,66720.0,1,4
2023-06-29 14:54:30.024855,240.0,270.0,1.0,4.0,66960.0,66970.0,10,14,66700.0,66720.0,12,3
2023-06-29 14:54:30.816405,250.0,270.0,0.0,3.0,66960.0,66970.0,7,11,66700.0,66710.0,9,1
2023-06-29 14:54:31.033452,240.0,270.0,0.0,3.0,66950.0,66970.0,14,11,66700.0,66710.0,9,1
2023-06-29 14:54:33.499565,250.0,280.0,6.0,5.0,66950.0,66970.0,16,11,66690.0,66700.0,15,19
2023-06-29 14:54:37.510969,250.0,270.0,6.0,0.0,66950.0,66960.0,16,1,66690.0,66700.0,19,19
2023-06-29 14:54:38.761005,240.0,280.0,2.0,2.0,66950.0,66960.0,13,4,66680.0,66710.0,18,6
2023-06-29 14:54:40.436174,240.0,270.0,2.0,0.0,66950.0,66960.0,21,6,66690.0,66710.0,2,7
